"Code","Preferred Term","Relationship","Code2","Preferred Term2"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36489","Gain of Chromosome 5p"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36488","Gain of Chromosome 8q"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36497","Loss of Chromosome 13q"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36667","Loss of Chromosome 4q"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C27712","Loss of Chromosome 5q"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36583","Loss of Chromosome 6q"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36503","Loss of Chromosome 8p"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36584","Loss of Chromosome 9"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36599","Loss of Chromosome Y"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Molecular_Abnormality","C98357","EGFR Gene Mutation"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Molecular_Abnormality","C36665","KRAS2 Gene Amplification"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Molecular_Abnormality","C36695","LKB1 Gene Inactivation"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Molecular_Abnormality","C36329","TP53 Gene Inactivation"
"C40367","Acinic Cell Breast Carcinoma","Disease_Mapped_To_Gene","C18021","CCND1 Gene"
"C40367","Acinic Cell Breast Carcinoma","Disease_Mapped_To_Gene","C17756","ERBB2 Gene"
"C40367","Acinic Cell Breast Carcinoma","Disease_May_Have_Molecular_Abnormality","C36652","CCND1 Gene Amplification"
"C40367","Acinic Cell Breast Carcinoma","Disease_May_Have_Molecular_Abnormality","C36485","CCND1 Protein Overexpression"
"C40367","Acinic Cell Breast Carcinoma","Disease_May_Have_Molecular_Abnormality","C36642","Cyclin D1 Messenger RNA Overexpression"
"C40367","Acinic Cell Breast Carcinoma","Disease_May_Have_Molecular_Abnormality","C36638","ERBB2 Gene Amplification"
"C40367","Acinic Cell Breast Carcinoma","Disease_May_Have_Molecular_Abnormality","C36639","ERBB2 Protein Overexpression"
"C40367","Acinic Cell Breast Carcinoma","Disease_May_Have_Molecular_Abnormality","C36329","TP53 Gene Inactivation"
"C7462","ACTH-Producing Pituitary Gland Adenoma","Disease_May_Have_Molecular_Abnormality","C39629","CDKN2A Gene Inactivation"
"C7462","ACTH-Producing Pituitary Gland Adenoma","Disease_May_Have_Molecular_Abnormality","C43539","Pituitary Tumor Transforming Gene Overexpression"
"C5964","ACTH-Producing Pituitary Gland Carcinoma","Disease_May_Have_Molecular_Abnormality","C45934","HRAS Gene Mutation"
"C36081","Activated B-Cell-Like Diffuse Large B-Cell Lymphoma","Disease_Has_Molecular_Abnormality","C38173","BCL2 Gene mRNA Overexpression"
"C36081","Activated B-Cell-Like Diffuse Large B-Cell Lymphoma","Disease_Has_Molecular_Abnormality","C38175","CD44 Messenger RNA Overexpression"
"C36081","Activated B-Cell-Like Diffuse Large B-Cell Lymphoma","Disease_Has_Molecular_Abnormality","C36451","Clonal Immunoglobulin Kappa Light Chain Gene Rearrangement"
"C36081","Activated B-Cell-Like Diffuse Large B-Cell Lymphoma","Disease_Has_Molecular_Abnormality","C38172","Cyclin D2 Messenger RNA Overexpression"
"C36081","Activated B-Cell-Like Diffuse Large B-Cell Lymphoma","Disease_Has_Molecular_Abnormality","C38174","IRF4/MUM1 Messenger RNA Overexpression"
"C36081","Activated B-Cell-Like Diffuse Large B-Cell Lymphoma","Disease_Has_Molecular_Abnormality","C38171","PKCbeta1 Messenger RNA Overexpression"
"C36081","Activated B-Cell-Like Diffuse Large B-Cell Lymphoma","Disease_Mapped_To_Gene","C24260","BCL6 Gene"
"C36081","Activated B-Cell-Like Diffuse Large B-Cell Lymphoma","Disease_May_Have_Molecular_Abnormality","C36444","Clonal Immunoglobulin Heavy Chain Gene Rearrangement"
"C36081","Activated B-Cell-Like Diffuse Large B-Cell Lymphoma","Disease_May_Have_Molecular_Abnormality","C36452","Clonal Immunoglobulin Lambda Light Chain Gene Rearrangement"
"C6923","Acute Bilineal Leukemia","Disease_May_Have_Molecular_Abnormality","C36444","Clonal Immunoglobulin Heavy Chain Gene Rearrangement"
"C6923","Acute Bilineal Leukemia","Disease_May_Have_Molecular_Abnormality","C36451","Clonal Immunoglobulin Kappa Light Chain Gene Rearrangement"
"C6923","Acute Bilineal Leukemia","Disease_May_Have_Molecular_Abnormality","C36452","Clonal Immunoglobulin Lambda Light Chain Gene Rearrangement"
"C6923","Acute Bilineal Leukemia","Disease_May_Have_Molecular_Abnormality","C36447","Clonal T-Cell Receptor Beta Chain Gene Rearrangement"
"C6923","Acute Bilineal Leukemia","Disease_May_Have_Molecular_Abnormality","C36448","Clonal T-Cell Receptor Gamma Chain Gene Rearrangement"
"C4673","Acute Biphenotypic Leukemia","Disease_May_Have_Molecular_Abnormality","C36444","Clonal Immunoglobulin Heavy Chain Gene Rearrangement"
"C4673","Acute Biphenotypic Leukemia","Disease_May_Have_Molecular_Abnormality","C36451","Clonal Immunoglobulin Kappa Light Chain Gene Rearrangement"
"C4673","Acute Biphenotypic Leukemia","Disease_May_Have_Molecular_Abnormality","C36452","Clonal Immunoglobulin Lambda Light Chain Gene Rearrangement"
"C4673","Acute Biphenotypic Leukemia","Disease_May_Have_Molecular_Abnormality","C36447","Clonal T-Cell Receptor Beta Chain Gene Rearrangement"
"C4673","Acute Biphenotypic Leukemia","Disease_May_Have_Molecular_Abnormality","C36448","Clonal T-Cell Receptor Gamma Chain Gene Rearrangement"
"C3167","Acute Lymphoblastic Leukemia","Disease_May_Have_Molecular_Abnormality","C36447","Clonal T-Cell Receptor Beta Chain Gene Rearrangement"
"C3167","Acute Lymphoblastic Leukemia","Disease_May_Have_Molecular_Abnormality","C36448","Clonal T-Cell Receptor Gamma Chain Gene Rearrangement"
"C121973","Acute Lymphoblastic Leukemia by Gene Expression Profile","Disease_May_Have_Molecular_Abnormality","C36447","Clonal T-Cell Receptor Beta Chain Gene Rearrangement"
"C121973","Acute Lymphoblastic Leukemia by Gene Expression Profile","Disease_May_Have_Molecular_Abnormality","C36448","Clonal T-Cell Receptor Gamma Chain Gene Rearrangement"
"C121978","Acute Lymphoblastic Leukemia by ROSE Cluster","Disease_May_Have_Molecular_Abnormality","C36447","Clonal T-Cell Receptor Beta Chain Gene Rearrangement"
"C121978","Acute Lymphoblastic Leukemia by ROSE Cluster","Disease_May_Have_Molecular_Abnormality","C36448","Clonal T-Cell Receptor Gamma Chain Gene Rearrangement"
"C4861","Acute Monocytic Leukemia","Disease_May_Have_Cytogenetic_Abnormality","C36416","t(8;16)(p11;p13)"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Has_Cytogenetic_Abnormality","C36541","Chromosomal Rearrangement"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Has_Cytogenetic_Abnormality","C36417","t(1;22)(p13.3;q13.3)"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Has_Molecular_Abnormality","C36346","Fusion Protein Expression"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Has_Molecular_Abnormality","C38373","RBM15-MKL1 Fusion Protein Expression"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Mapped_To_Gene","C97296","MKL1 Gene"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Mapped_To_Gene","C97293","RBM15 Gene"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Mapped_To_Gene","C99701","RBM15/MKL1 Fusion Gene"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Pathogenesis_Involves_Gene","C97296","MKL1 Gene"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Pathogenesis_Involves_Gene","C97297","MKL1 wt Allele"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Pathogenesis_Involves_Gene","C97293","RBM15 Gene"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Pathogenesis_Involves_Gene","C97294","RBM15 wt Allele"
"C82427","Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1","Disease_Pathogenesis_Involves_Gene","C99701","RBM15/MKL1 Fusion Gene"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C38386","del(20)(q11)"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C38385","del(7)(q11;q36)"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36525","Gain of Chromosome 11"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36456","Gain of Chromosome 19"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36527","Gain of Chromosome 21"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36455","Gain of Chromosome 8"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36463","Gain of Chromosome 9"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36414","ins(3;3)"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36407","inv(3)(q21.3;q26.2)"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36646","Loss of Chromosome 11q ATM Gene Locus"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36410","Loss of Chromosome 12p"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C27712","Loss of Chromosome 5q"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36406","t(3;3)(q21.3;q26.2)"
"C4037","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","Disease_May_Have_Cytogenetic_Abnormality","C36415","t(3;5)(q25;q34)"
"C36055","Acute Myeloid Leukemia with a Variant RARA Translocation","Disease_Has_Cytogenetic_Abnormality","C36541","Chromosomal Rearrangement"
"C36055","Acute Myeloid Leukemia with a Variant RARA Translocation","Disease_Has_Molecular_Abnormality","C36346","Fusion Protein Expression"
"C36055","Acute Myeloid Leukemia with a Variant RARA Translocation","Disease_Mapped_To_Gene","C21571","RARA Gene"
"C36055","Acute Myeloid Leukemia with a Variant RARA Translocation","Disease_Pathogenesis_Involves_Gene","C21571","RARA Gene"
"C36055","Acute Myeloid Leukemia with a Variant RARA Translocation","Disease_Pathogenesis_Involves_Gene","C51711","RARA wt Allele"
"C82430","Acute Myeloid Leukemia with Gene Mutations","Disease_Has_Molecular_Abnormality","C36327","Gene Abnormality"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Has_Cytogenetic_Abnormality","C36541","Chromosomal Rearrangement"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Has_Molecular_Abnormality","C37219","CBFB-MYH11 Fusion Protein Expression"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Has_Molecular_Abnormality","C36346","Fusion Protein Expression"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Mapped_To_Gene","C18584","CBFB Gene"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Mapped_To_Gene","C101051","CBFB/MYH11 Fusion Gene"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Mapped_To_Gene","C29957","MYH11 Gene"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Pathogenesis_Involves_Gene","C18584","CBFB Gene"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Pathogenesis_Involves_Gene","C52523","CBFB wt Allele"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Pathogenesis_Involves_Gene","C101051","CBFB/MYH11 Fusion Gene"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Pathogenesis_Involves_Gene","C29957","MYH11 Gene"
"C9287","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","Disease_Pathogenesis_Involves_Gene","C52448","MYH11 wt Allele"
"C9018","Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11","Disease_Has_Cytogenetic_Abnormality","C36541","Chromosomal Rearrangement"
"C9018","Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11","Disease_Has_Cytogenetic_Abnormality","C36373","inv(16)(p13.1;q22)"
"C9018","Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11","Disease_Has_Molecular_Abnormality","C37219","CBFB-MYH11 Fusion Protein Expression"
"C9018","Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11","Disease_Has_Molecular_Abnormality","C36346","Fusion Protein Expression"
"C9018","Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11","Disease_Mapped_To_Gene","C18584","CBFB Gene"
"C9018","Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11","Disease_Mapped_To_Gene","C101051","CBFB/MYH11 Fusion Gene"
"C9018","Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11","Disease_Mapped_To_Gene","C29957","MYH11 Gene"
"C82426","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","Disease_Has_Cytogenetic_Abnormality","C36541","Chromosomal Rearrangement"
"C82426","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","Disease_Has_Molecular_Abnormality","C36346","Fusion Protein Expression"
"C82426","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","Disease_Mapped_To_Gene","C18392","MECOM Gene"
"C82426","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","Disease_Pathogenesis_Involves_Gene","C18392","MECOM Gene"
"C82426","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM","Disease_Pathogenesis_Involves_Gene","C52876","MECOM wt Allele"
"C122716","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM","Disease_Has_Cytogenetic_Abnormality","C36541","Chromosomal Rearrangement"
"C122716","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM","Disease_Has_Cytogenetic_Abnormality","C36407","inv(3)(q21.3;q26.2)"
"C122716","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM","Disease_Has_Molecular_Abnormality","C36346","Fusion Protein Expression"
"C122716","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM","Disease_Mapped_To_Gene","C18392","MECOM Gene"
"C8460","Acute Myeloid Leukemia with Minimal Differentiation","Disease_May_Have_Cytogenetic_Abnormality","C36411","Monosomy 7"
"C8460","Acute Myeloid Leukemia with Minimal Differentiation","Disease_May_Have_Cytogenetic_Abnormality","C36529","Trisomy 13"
"C8460","Acute Myeloid Leukemia with Minimal Differentiation","Disease_May_Have_Cytogenetic_Abnormality","C36530","Trisomy 4"
"C8460","Acute Myeloid Leukemia with Minimal Differentiation","Disease_May_Have_Cytogenetic_Abnormality","C36396","Trisomy 8"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C38386","del(20)(q11)"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C38385","del(7)(q11;q36)"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36525","Gain of Chromosome 11"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36456","Gain of Chromosome 19"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36527","Gain of Chromosome 21"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36455","Gain of Chromosome 8"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36463","Gain of Chromosome 9"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36414","ins(3;3)"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36407","inv(3)(q21.3;q26.2)"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36646","Loss of Chromosome 11q ATM Gene Locus"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36410","Loss of Chromosome 12p"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C27712","Loss of Chromosome 5q"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36406","t(3;3)(q21.3;q26.2)"
"C9289","Acute Myeloid Leukemia with Multilineage Dysplasia","Disease_May_Have_Cytogenetic_Abnormality","C36415","t(3;5)(q25;q34)"
"C82433","Acute Myeloid Leukemia with Mutated CEBPA","Disease_Has_Molecular_Abnormality","C38372","CEBPA Gene Mutation"
"C82433","Acute Myeloid Leukemia with Mutated CEBPA","Disease_Has_Molecular_Abnormality","C36327","Gene Abnormality"
"C82433","Acute Myeloid Leukemia with Mutated CEBPA","Disease_Mapped_To_Gene","C39598","CEBPA Gene"
"C82433","Acute Myeloid Leukemia with Mutated CEBPA","Disease_Pathogenesis_Involves_Gene","C39598","CEBPA Gene"
"C82433","Acute Myeloid Leukemia with Mutated CEBPA","Disease_Pathogenesis_Involves_Gene","C52525","CEBPA wt Allele"
"C82431","Acute Myeloid Leukemia with Mutated NPM1","Disease_Has_Molecular_Abnormality","C36327","Gene Abnormality"
"C82431","Acute Myeloid Leukemia with Mutated NPM1","Disease_Has_Molecular_Abnormality","C82429","NPM1 Gene Mutation"
"C82431","Acute Myeloid Leukemia with Mutated NPM1","Disease_Mapped_To_Gene","C21185","NPM1 Gene"
"C82431","Acute Myeloid Leukemia with Mutated NPM1","Disease_Pathogenesis_Involves_Gene","C21185","NPM1 Gene"
"C82431","Acute Myeloid Leukemia with Mutated NPM1","Disease_Pathogenesis_Involves_Gene","C52487","NPM1 wt Allele"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C38386","del(20)(q11)"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C38385","del(7)(q11;q36)"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36525","Gain of Chromosome 11"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36456","Gain of Chromosome 19"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36527","Gain of Chromosome 21"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36455","Gain of Chromosome 8"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36463","Gain of Chromosome 9"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36414","ins(3;3)"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36407","inv(3)(q21.3;q26.2)"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36646","Loss of Chromosome 11q ATM Gene Locus"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36410","Loss of Chromosome 12p"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C27712","Loss of Chromosome 5q"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36406","t(3;3)(q21.3;q26.2)"
"C7600","Acute Myeloid Leukemia with Myelodysplasia-Related Changes","Disease_May_Have_Cytogenetic_Abnormality","C36415","t(3;5)(q25;q34)"
"C7175","Acute Myeloid Leukemia with Recurrent Genetic Abnormalities","Disease_Has_Cytogenetic_Abnormality","C36541","Chromosomal Rearrangement"
"C7175","Acute Myeloid Leukemia with Recurrent Genetic Abnormalities","Disease_Has_Molecular_Abnormality","C36346","Fusion Protein Expression"
"C36058","Acute Myeloid Leukemia with t(11;17)(q13;q21)","Disease_Has_Cytogenetic_Abnormality","C36541","Chromosomal Rearrangement"
"C36058","Acute Myeloid Leukemia with t(11;17)(q13;q21)","Disease_Has_Cytogenetic_Abnormality","C36364","t(11;17)(q13;q21)"
"C36058","Acute Myeloid Leukemia with t(11;17)(q13;q21)","Disease_Has_Molecular_Abnormality","C36346","Fusion Protein Expression"
"C36058","Acute Myeloid Leukemia with t(11;17)(q13;q21)","Disease_Has_Molecular_Abnormality","C37222","NUMA1-RARA Fusion Protein Expression"
"C36058","Acute Myeloid Leukemia with t(11;17)(q13;q21)","Disease_Mapped_To_Gene","C99359","NUMA1/RARA Fusion Gene"
"C36058","Acute Myeloid Leukemia with t(11;17)(q13;q21)","Disease_Mapped_To_Gene","C21571","RARA Gene"
"C36058","Acute Myeloid Leukemia with t(11;17)(q13;q21)","Disease_Pathogenesis_Involves_Gene","C99359","NUMA1/RARA Fusion Gene"
"C36056","Acute Myeloid Leukemia with t(11;17)(q23;q21)","Disease_Has_Cytogenetic_Abnormality","C36541","Chromosomal Rearrangement"
