NCIt Code,NCIt Preferred Term,NCIm CUI,NCIm Preferred Name,NCIm Source,Term Type,Source Code,Source Term
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Leukemia, Myeloid, Aggressive-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Myelogenous Leukemia, Chronic, Aggressive Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Myelogenous Leukemia, Chronic, Aggressive-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Myeloid Leukemia, Chronic, Accelerated Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Myeloid Leukemia, Chronic, Accelerated-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Myeloid Leukemia, Chronic, Aggressive Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Myeloid Leukemia, Chronic, Aggressive-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NCI-GLOSS,PT,CDR0000046212,accelerated phase chronic myelogenous leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Leukemia, Myelogenous, Aggressive Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Leukemia, Myelogenous, Aggressive-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,PT,N0000003262,"Leukemia, Myeloid, Accelerated Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,FN,N0000003262,"Leukemia, Myeloid, Accelerated Phase [Disease/Finding]"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Leukemia, Myeloid, Accelerated-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Leukemia, Myeloid, Aggressive-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Myelogenous Leukemia, Chronic, Aggressive Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Myelogenous Leukemia, Chronic, Aggressive-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Myeloid Leukemia, Chronic, Accelerated Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Myeloid Leukemia, Chronic, Accelerated-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Myeloid Leukemia, Chronic, Aggressive Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",NDFRT,SY,N0000003262,"Myeloid Leukemia, Chronic, Aggressive-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,DN,CDR0000039070,accelerated phase
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,accelerated phase CGL
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,Accelerated Phase Chronic Granulocytic Leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,Accelerated Phase Chronic Myelocytic Leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,PT,CDR0000039070,accelerated phase chronic myelogenous leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,Accelerated Phase Chronic Myeloid Leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,accelerated phase CML
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,Aggressive-Phase Chronic Myelocytic Leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,Aggressive-Phase Chronic Myelogenous Leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,Aggressive-Phase Chronic Myeloid Leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,Aggressive-Phase CML
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,"CGL, accelerated phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,"chronic granulocytic leukemia, accelerated phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,"chronic myelocytic leukemia, accelerated phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,"chronic myelogenous leukemia, accelerated phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,DN,CDR0000039070,"chronic myelogenous leukemia, accelerated phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,"CML, accelerated phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,"granulocytic leukemia, accelerated phase chronic"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,"leukemia, accelerated phase chronic myelogenous"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,"myelocytic leukemia, accelerated phase chronic"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PDQ,SY,CDR0000039070,"myelogenous leukemia, accelerated phase chronic"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",SNOMEDCT_US,PTGB,413389003,Accelerated phase chronic myeloid leukaemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",SNOMEDCT_US,PT,413389003,Accelerated phase chronic myeloid leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",SNOMEDCT_US,FN,413389003,Accelerated phase chronic myeloid leukemia (disorder)
C45929,Acidophil Stem Cell Pituitary Gland Adenoma,C1706698,Acidophil Stem Cell Pituitary Gland Adenoma,,,,
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,CDISC,SY,C3768,Acinar Adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,CDISC,SY,C3768,Acinar Carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,CDISC,SY,C3768,Acinar Cell Adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,CDISC,SY,C3768,Acinic Cell Adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,CDISC,SY,C3768,Acinic Cell Carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,CDISC,PT,C3768,"CARCINOMA, ACINAR CELL, MALIGNANT"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,GARD,PT,8568,Acinic cell carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,ICDO,SY,8550/3,Acinar adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,ICDO,SY,8550/3,Acinar carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,ICDO,PT,8550/3,Acinar cell carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,ICDO,SY,8550/3,Acinic cell adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,ICDO,IS,8550/1,Acinic cell tumor
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MDBCAC,PT,3117,Acinic cell carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MDR,LLT,10064646,Acinic cell carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,ET,D018267,Acinar Carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,Acinar Carcinomas
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,ET,D018267,Acinar Cell Adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,Acinar Cell Adenocarcinomas
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,Acinar Cell Carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,Acinar Cell Carcinomas
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,ET,D018267,Acinic Cell Adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,Acinic Cell Adenocarcinomas
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,ET,D018267,Acinic Cell Carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,Acinic Cell Carcinomas
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,ET,D018267,Acinic Cell Tumor
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,Acinic Cell Tumors
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Adenocarcinoma, Acinar Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Adenocarcinoma, Acinic Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Adenocarcinomas, Acinar Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Adenocarcinomas, Acinic Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Carcinoma, Acinar"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,MH,D018267,"Carcinoma, Acinar Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Carcinoma, Acinic Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Carcinomas, Acinar"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Carcinomas, Acinar Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Carcinomas, Acinic Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Tumor, Acinic Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MSH,PM,D018267,"Tumors, Acinic Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,MTH,PN,NOCODE,Acinar Cell Carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,NDFRT,SY,N0000003734,Acinar Carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,NDFRT,SY,N0000003734,Acinar Cell Adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,NDFRT,SY,N0000003734,Acinic Cell Adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,NDFRT,SY,N0000003734,Acinic Cell Carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,NDFRT,SY,N0000003734,Acinic Cell Tumor
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,NDFRT,PT,N0000003734,"Carcinoma, Acinar Cell"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,NDFRT,FN,N0000003734,"Carcinoma, Acinar Cell [Disease/Finding]"
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,RADLEX,PT,RID3962,acinar cell carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,SNOMEDCT_US,SY,45410002,Acinar adenocarcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,SNOMEDCT_US,SY,45410002,Acinar carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,SNOMEDCT_US,PT,45410002,Acinar cell carcinoma
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,SNOMEDCT_US,FN,45410002,Acinar cell carcinoma (morphologic abnormality)
C3768,Acinar Cell Carcinoma,C0206685,Acinar Cell Carcinoma,SNOMEDCT_US,SY,45410002,Acinic cell adenocarcinoma
C5649,Acinar Lung Adenocarcinoma,C1332137,Acinar Lung Adenocarcinoma,,,,
C40367,Acinic Cell Breast Carcinoma,C1515868,Acinic Cell Breast Carcinoma,,,,
C27018,Acquired Hemangioma,C0856897,Acquired Hemangioma,CST,GT,ANOMALY VASCUL,HAEMANGIOMA AQUIRED
C27018,Acquired Hemangioma,C0856897,Acquired Hemangioma,MDR,LLT,10000548,Acquired haemangioma
C27018,Acquired Hemangioma,C0856897,Acquired Hemangioma,MDR,LLT,10000552,Acquired hemangioma
C27018,Acquired Hemangioma,C0856897,Acquired Hemangioma,MDR,LLT,10018815,Haemangioma acquired
C27018,Acquired Hemangioma,C0856897,Acquired Hemangioma,MDR,OL,10018817,Haemangioma aquired
C27018,Acquired Hemangioma,C0856897,Acquired Hemangioma,MDR,LLT,10019387,Hemangioma acquired
C27018,Acquired Hemangioma,C0856897,Acquired Hemangioma,MDR,MTH_OL,10018817,Hemangioma aquired
C27018,Acquired Hemangioma,C0856897,Acquired Hemangioma,MTH,SY,NOCODE,HEMANGIOMA AQUIRED
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,DXP,SY,NOCODE,"BRAIN TUMOR, ACTH SECRETING PITUITARY ADENOMA"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,DXP,SY,NOCODE,"INTRACRANIAL NEOPLASM, ACTH SECRETING PITUITARY ADENOMA"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,DXP,DI,U001504,"PITUITARY ADENOMA, ACTH SECRETING"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,HPO,SY,HP:0008291,ACTH-producing pituitary adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,HPO,SY,HP:0008291,Corticotropin-secreting pituitary adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,HPO,PT,HP:0008291,Pituitary corticotropic cell adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,ACTH Producing Pituitary Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,ACTH Secreting Pituitary Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,ET,D049913,ACTH-Producing Pituitary Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,ACTH-Producing Pituitary Adenomas
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,MH,D049913,ACTH-Secreting Pituitary Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,ACTH-Secreting Pituitary Adenomas
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,"Adenoma, Corticotroph"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,"Adenomas, Corticotroph"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,ET,D049913,Corticotroph Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,Corticotroph Adenomas
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,"Corticotropin-Secreting Adenoma, Pituitary"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,"Corticotropin-Secreting Adenomas, Pituitary"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,"Pituitary Adenoma, ACTH Secreting"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,"Pituitary Adenoma, ACTH-Producing"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,ET,D049913,"Pituitary Adenoma, ACTH-Secreting"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,"Pituitary Adenomas, ACTH-Producing"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,"Pituitary Adenomas, ACTH-Secreting"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,Pituitary Corticotropin Secreting Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,ET,D049913,Pituitary Corticotropin-Secreting Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MSH,PM,D049913,Pituitary Corticotropin-Secreting Adenomas
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,MTH,PN,NOCODE,ACTH-Secreting Pituitary Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,NDFRT,SY,N0000171690,ACTH-Producing Pituitary Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,NDFRT,PT,N0000171690,ACTH-Secreting Pituitary Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,NDFRT,FN,N0000171690,ACTH-Secreting Pituitary Adenoma [Disease/Finding]
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,NDFRT,SY,N0000171690,Corticotroph Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,NDFRT,SY,N0000171690,"Pituitary Adenoma, ACTH-Secreting"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,NDFRT,SY,N0000171690,Pituitary Corticotropin-Secreting Adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,OMIM,PT,219090,"PITUITARY ADENOMA, ACTH-SECRETING"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,OMIM,PHENO,605555,"PITUITARY ADENOMA, ACTH-SECRETING"
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,PDQ,SY,CDR0000040031,ACTH secreting adenoma
C7462,ACTH-Producing Pituitary Gland Adenoma,C1306214,ACTH-Producing Pituitary Gland Adenoma,PDQ,SY,CDR0000040031,"adenoma, ACTH secreting"
